TRANSACTION_ID=316917, TX_DATETIME=2018-05-04 00:02:25, CUSTOMER_ID=2924, TERMINAL_ID=1711, TX_AMOUNT=85.38, TX_TIME_SECONDS=2851345, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=4.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=57.91000000000005, CUSTOMER_ID_NB_TX_7DAY_WINDOW=17.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=50.76058823529413, CUSTOMER_ID_NB_TX_30DAY_WINDOW=77.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=56.188051948051964, TERMINAL_ID_NB_TX_1DAY_WINDOW=0.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=6.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=17.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316918, TX_DATETIME=2018-05-04 00:02:52, CUSTOMER_ID=3808, TERMINAL_ID=6385, TX_AMOUNT=81.08, TX_TIME_SECONDS=2851372, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=7.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=70.92285714285715, CUSTOMER_ID_NB_TX_7DAY_WINDOW=29.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=69.65310344827583, CUSTOMER_ID_NB_TX_30DAY_WINDOW=117.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=66.00145299145296, TERMINAL_ID_NB_TX_1DAY_WINDOW=2.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=9.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.1111111111111111, TERMINAL_ID_NB_TX_30DAY_WINDOW=27.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.037037037037037035
TRANSACTION_ID=316919, TX_DATETIME=2018-05-04 00:04:24, CUSTOMER_ID=2657, TERMINAL_ID=9031, TX_AMOUNT=38.65, TX_TIME_SECONDS=2851464, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=5.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=32.96200000000003, CUSTOMER_ID_NB_TX_7DAY_WINDOW=22.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=29.84727272727274, CUSTOMER_ID_NB_TX_30DAY_WINDOW=107.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=24.90093457943926, TERMINAL_ID_NB_TX_1DAY_WINDOW=0.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=5.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=17.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316920, TX_DATETIME=2018-05-04 00:04:26, CUSTOMER_ID=2457, TERMINAL_ID=3594, TX_AMOUNT=120.89, TX_TIME_SECONDS=2851466, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=4.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=135.59999999999994, CUSTOMER_ID_NB_TX_7DAY_WINDOW=22.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=105.9577272727273, CUSTOMER_ID_NB_TX_30DAY_WINDOW=93.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=100.21688172043017, TERMINAL_ID_NB_TX_1DAY_WINDOW=0.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=3.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=17.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316921, TX_DATETIME=2018-05-04 00:05:29, CUSTOMER_ID=2686, TERMINAL_ID=8434, TX_AMOUNT=32.54, TX_TIME_SECONDS=2851529, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=1.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=32.54000000000001, CUSTOMER_ID_NB_TX_7DAY_WINDOW=9.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=22.97666666666666, CUSTOMER_ID_NB_TX_30DAY_WINDOW=35.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=19.88228571428571, TERMINAL_ID_NB_TX_1DAY_WINDOW=1.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=10.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=28.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316922, TX_DATETIME=2018-05-04 00:05:33, CUSTOMER_ID=2907, TERMINAL_ID=9613, TX_AMOUNT=18.88, TX_TIME_SECONDS=2851533, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=1.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=18.879999999999995, CUSTOMER_ID_NB_TX_7DAY_WINDOW=2.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=25.335000000000022, CUSTOMER_ID_NB_TX_30DAY_WINDOW=16.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=22.712500000000002, TERMINAL_ID_NB_TX_1DAY_WINDOW=1.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=6.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=16.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316923, TX_DATETIME=2018-05-04 00:06:21, CUSTOMER_ID=343, TERMINAL_ID=218, TX_AMOUNT=20.75, TX_TIME_SECONDS=2851581, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=2.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=25.035000000000014, CUSTOMER_ID_NB_TX_7DAY_WINDOW=15.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=21.93933333333334, CUSTOMER_ID_NB_TX_30DAY_WINDOW=88.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=20.469318181818178, TERMINAL_ID_NB_TX_1DAY_WINDOW=1.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=7.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=29.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316924, TX_DATETIME=2018-05-04 00:10:32, CUSTOMER_ID=3835, TERMINAL_ID=8322, TX_AMOUNT=8.69, TX_TIME_SECONDS=2851832, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=3.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=12.583333333333334, CUSTOMER_ID_NB_TX_7DAY_WINDOW=9.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=9.607777777777777, CUSTOMER_ID_NB_TX_30DAY_WINDOW=32.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=11.9096875, TERMINAL_ID_NB_TX_1DAY_WINDOW=1.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=8.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=23.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316925, TX_DATETIME=2018-05-04 00:11:56, CUSTOMER_ID=2222, TERMINAL_ID=5469, TX_AMOUNT=83.98, TX_TIME_SECONDS=2851916, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=2.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=75.42499999999983, CUSTOMER_ID_NB_TX_7DAY_WINDOW=18.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=65.10277777777776, CUSTOMER_ID_NB_TX_30DAY_WINDOW=97.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=67.89711340206183, TERMINAL_ID_NB_TX_1DAY_WINDOW=0.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=4.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=20.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316926, TX_DATETIME=2018-05-04 00:12:33, CUSTOMER_ID=7, TERMINAL_ID=9457, TX_AMOUNT=3.48, TX_TIME_SECONDS=2851953, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=6.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=19.86666666666668, CUSTOMER_ID_NB_TX_7DAY_WINDOW=19.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=27.679473684210542, CUSTOMER_ID_NB_TX_30DAY_WINDOW=77.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=27.76051948051949, TERMINAL_ID_NB_TX_1DAY_WINDOW=3.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=9.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=24.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
TRANSACTION_ID=316927, TX_DATETIME=2018-05-04 00:13:26, CUSTOMER_ID=347, TERMINAL_ID=639, TX_AMOUNT=27.03, TX_TIME_SECONDS=2852006, TX_TIME_DAYS=33, TX_FRAUD=0, TX_FRAUD_SCENARIO=0, TX_DURING_WEEKEND=0, TX_DURING_NIGHT=1, CUSTOMER_ID_NB_TX_1DAY_WINDOW=2.0, CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW=24.399999999999977, CUSTOMER_ID_NB_TX_7DAY_WINDOW=6.0, CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW=25.071666666666697, CUSTOMER_ID_NB_TX_30DAY_WINDOW=49.0, CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW=21.971836734693877, TERMINAL_ID_NB_TX_1DAY_WINDOW=1.0, TERMINAL_ID_RISK_1DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_7DAY_WINDOW=9.0, TERMINAL_ID_RISK_7DAY_WINDOW=0.0, TERMINAL_ID_NB_TX_30DAY_WINDOW=23.0, TERMINAL_ID_RISK_30DAY_WINDOW=0.0
